"","country","code","year","mean_age"
"1","Romania",3447,1998,26.41
"2","Romania",3447,1999,25.31
"3","Romania",3447,2000,24.39
"4","Romania",3447,2001,24.62
"5","Romania",3447,2002,24.32
"6","Romania",3447,2003,23.74
"7","Romania",3447,2004,25.41
"8","Romania",3447,2005,25.11
"9","Romania",3447,2006,25.36
"10","Romania",3447,2007,26.74
"11","Romania",3447,2008,25.98
"12","Romania",3447,2009,26.1
"13","Romania",3447,2010,25.54
"14","Romania",3447,2011,25.38
"15","Romania",3447,2012,25
"16","Romania",3447,2013,25.1
"17","Romania",3447,2014,25.22
"18","Romania",3447,2015,26.5
"19","Romania",3447,2016,25.7
"20","Romania",3447,2017,27.42
"21","Romania",3447,2018,27.42
"22","United States",3505,1998,26.72
"23","United States",3505,1999,26.36
"24","United States",3505,2000,26.6
"25","United States",3505,2001,26.97
"26","United States",3505,2002,25.26
"27","United States",3505,2003,26.65
"28","United States",3505,2004,26
"29","United States",3505,2005,25.59
"30","United States",3505,2006,24.51
"31","United States",3505,2007,24.75
"32","United States",3505,2008,25.13
"33","United States",3505,2009,25.84
"34","United States",3505,2010,24.85
"35","United States",3505,2011,25.08
"36","United States",3505,2012,25.73
"37","United States",3505,2013,25.66
"38","United States",3505,2014,24.88
"39","United States",3505,2015,25.14
"40","United States",3505,2016,26.26
"41","United States",3505,2017,22.27
"42","United States",3505,2018,22.27
"43","Croatia",3556,1998,24.98
"44","Croatia",3556,1999,26.05
"45","Croatia",3556,2000,26.09
"46","Croatia",3556,2001,25.53
"47","Croatia",3556,2002,25.83
"48","Croatia",3556,2003,26.51
"49","Croatia",3556,2004,26.55
"50","Croatia",3556,2005,26.28
"51","Croatia",3556,2006,26.7
"52","Croatia",3556,2007,26.29
"53","Croatia",3556,2008,25.94
"54","Croatia",3556,2009,25.19
"55","Croatia",3556,2010,24.82
"56","Croatia",3556,2011,25.83
"57","Croatia",3556,2012,24.76
"58","Croatia",3556,2013,25.19
"59","Croatia",3556,2014,24.34
"60","Croatia",3556,2015,24.94
"61","Croatia",3556,2016,23.96
"62","Croatia",3556,2017,27.29
"63","Croatia",3556,2018,27.29
"64","Morocco",3575,1998,25.33
"65","Morocco",3575,1999,26.71
"66","Morocco",3575,2000,25.69
"67","Morocco",3575,2002,26.38
"68","Morocco",3575,2003,24.57
"69","Morocco",3575,2004,25
"70","Morocco",3575,2005,27.13
"71","Morocco",3575,2006,26.86
"72","Morocco",3575,2007,25.2
"73","Morocco",3575,2008,25.36
"74","Morocco",3575,2009,25.17
"75","Morocco",3575,2010,25.37
"76","Morocco",3575,2011,24.87
"77","Morocco",3575,2012,25.42
"78","Morocco",3575,2013,25.1
"79","Morocco",3575,2014,25.06
"80","Morocco",3575,2015,25.3
"81","Morocco",3575,2016,25.16
"82","Morocco",3575,2017,26.38
"83","Morocco",3575,2018,26.38
"84","Paraguay",3581,1998,25.41
"85","Paraguay",3581,2000,25.03
"86","Paraguay",3581,2001,26.7
"87","Paraguay",3581,2002,25.65
"88","Paraguay",3581,2003,22.75
"89","Paraguay",3581,2004,26.08
"90","Paraguay",3581,2005,25.63
"91","Paraguay",3581,2006,25.38
"92","Paraguay",3581,2007,25.13
"93","Paraguay",3581,2008,25.73
"94","Paraguay",3581,2009,25
"95","Paraguay",3581,2010,24.72
"96","Paraguay",3581,2011,24.97
"97","Paraguay",3581,2012,26.36
"98","Paraguay",3581,2013,25.07
"99","Paraguay",3581,2014,25.75
"100","Paraguay",3581,2015,26.67
"101","Paraguay",3581,2016,26.63
"102","Paraguay",3581,2017,28.69
"103","Paraguay",3581,2018,28.69
"104","Iran",3582,1998,25.12
"105","Iran",3582,1999,30
"106","Iran",3582,2000,24.75
"107","Iran",3582,2001,24.5
"108","Iran",3582,2002,26.38
"109","Iran",3582,2003,23.43
"110","Iran",3582,2004,25
"111","Iran",3582,2005,25.15
"112","Iran",3582,2006,25.69
"113","Iran",3582,2007,26.29
"114","Iran",3582,2008,26.3
"115","Iran",3582,2009,25.88
"116","Iran",3582,2010,26.56
"117","Iran",3582,2011,26.02
"118","Iran",3582,2012,26.02
"119","Iran",3582,2013,25.94
"120","Iran",3582,2014,24.98
"121","Iran",3582,2015,25.24
"122","Iran",3582,2016,25.76
"123","Iran",3582,2017,26.42
"124","Iran",3582,2018,26.42
"125","South Korea",3589,1998,24.68
"126","South Korea",3589,1999,25.1
"127","South Korea",3589,2000,25
"128","South Korea",3589,2001,25.83
"129","South Korea",3589,2002,26
"130","South Korea",3589,2003,25.37
"131","South Korea",3589,2004,24.32
"132","South Korea",3589,2005,24.51
"133","South Korea",3589,2006,25.03
"134","South Korea",3589,2007,25.4
"135","South Korea",3589,2008,24.55
"136","South Korea",3589,2009,25.35
"137","South Korea",3589,2010,24.04
"138","South Korea",3589,2011,24.87
"139","South Korea",3589,2012,25.66
"140","South Korea",3589,2013,24.62
"141","South Korea",3589,2014,24.74
"142","South Korea",3589,2015,24.95
"143","South Korea",3589,2016,26.22
"144","South Korea",3589,2017,27.19
"145","South Korea",3589,2018,27.19
"146","Tunisia",3670,1998,25.53
"147","Tunisia",3670,1999,25.03
"148","Tunisia",3670,2000,26.06
"149","Tunisia",3670,2001,25.53
"150","Tunisia",3670,2002,24.24
"151","Tunisia",3670,2003,25.17
"152","Tunisia",3670,2004,24.69
"153","Tunisia",3670,2005,25.57
"154","Tunisia",3670,2006,25.22
"155","Tunisia",3670,2007,25.63
"156","Tunisia",3670,2008,24.12
"157","Tunisia",3670,2009,24.03
"158","Tunisia",3670,2010,24.4
"159","Tunisia",3670,2011,23.88
"160","Tunisia",3670,2012,24.38
"161","Tunisia",3670,2013,24.76
"162","Tunisia",3670,2014,25.13
"163","Tunisia",3670,2015,24.8
"164","Tunisia",3670,2016,25.41
"165","Tunisia",3670,2017,26.55
"166","Tunisia",3670,2018,26.55
"167","Jamaica",3671,1998,23.33
"168","Jamaica",3671,1999,23.94
"169","Jamaica",3671,2000,22.98
"170","Jamaica",3671,2002,25
"171","Jamaica",3671,2003,25.4
"172","Jamaica",3671,2004,23.96
"173","Jamaica",3671,2005,23.49
"174","Jamaica",3671,2006,24.61
"175","Jamaica",3671,2007,24.47
"176","Jamaica",3671,2008,24.51
"177","Jamaica",3671,2009,24.75
"178","Jamaica",3671,2010,24.26
"179","Jamaica",3671,2011,24.83
"180","Jamaica",3671,2012,26.38
"181","Jamaica",3671,2013,24.49
"182","Jamaica",3671,2014,24.71
"183","Jamaica",3671,2015,26.67
"184","Jamaica",3671,2016,25.72
"185","Jamaica",3671,2017,23.9
"186","Jamaica",3671,2018,23.9
"187","Chile",3700,1998,25.35
"188","Chile",3700,2000,24.93
"189","Chile",3700,2001,21.43
"190","Chile",3700,2002,24
"191","Chile",3700,2003,24.5
"192","Chile",3700,2004,25.33
"193","Chile",3700,2005,21.19
"194","Chile",3700,2006,23.16
"195","Chile",3700,2007,22.51
"196","Chile",3700,2008,23.75
"197","Chile",3700,2009,22.64
"198","Chile",3700,2010,24.43
"199","Chile",3700,2011,24.68
"200","Chile",3700,2012,24.85
"201","Chile",3700,2013,26.25
"202","Chile",3700,2014,25.89
"203","Chile",3700,2015,25.67
"204","Chile",3700,2016,26.03
"205","Chile",3700,2017,24.07
"206","Chile",3700,2018,24.07
"207","South Africa",3806,1998,23.88
"208","South Africa",3806,1999,27.05
"209","South Africa",3806,2000,25.71
"210","South Africa",3806,2001,25.35
"211","South Africa",3806,2002,24.71
"212","South Africa",3806,2003,25.89
"213","South Africa",3806,2004,24.38
"214","South Africa",3806,2005,24.68
"215","South Africa",3806,2006,25.69
"216","South Africa",3806,2007,24.8
"217","South Africa",3806,2008,25.5
"218","South Africa",3806,2009,25.46
"219","South Africa",3806,2010,23.98
"220","South Africa",3806,2011,24.28
"221","South Africa",3806,2012,25.65
"222","South Africa",3806,2013,24.38
"223","South Africa",3806,2014,23.68
"224","South Africa",3806,2015,24.94
"225","South Africa",3806,2016,25.88
"226","South Africa",3806,2017,25.08
"227","South Africa",3806,2018,25.08
"228","Saudi Arabia",3807,1998,22.85
"229","Saudi Arabia",3807,1999,22.63
"230","Saudi Arabia",3807,2001,25.32
"231","Saudi Arabia",3807,2003,22.72
"232","Saudi Arabia",3807,2004,23.06
"233","Saudi Arabia",3807,2005,24.78
"234","Saudi Arabia",3807,2006,25.07
"235","Saudi Arabia",3807,2007,25.54
"236","Saudi Arabia",3807,2008,25.26
"237","Saudi Arabia",3807,2009,25.38
"238","Saudi Arabia",3807,2010,25.02
"239","Saudi Arabia",3807,2011,25.28
"240","Saudi Arabia",3807,2012,23.67
"241","Saudi Arabia",3807,2013,24.33
"242","Saudi Arabia",3807,2014,24.84
"243","Saudi Arabia",3807,2015,26.2
"244","Saudi Arabia",3807,2016,26.74
"245","Saudi Arabia",3807,2017,28.07
"246","Saudi Arabia",3807,2018,28.07
"247","Colombia",3816,1998,25.84
"248","Colombia",3816,1999,25.49
"249","Colombia",3816,2000,24.4
"250","Colombia",3816,2001,24.12
"251","Colombia",3816,2002,24.77
"252","Colombia",3816,2003,24.27
"253","Colombia",3816,2004,25.09
"254","Colombia",3816,2005,23.87
"255","Colombia",3816,2006,24.61
"256","Colombia",3816,2007,24.58
"257","Colombia",3816,2008,25.34
"258","Colombia",3816,2009,25.33
"259","Colombia",3816,2010,26.14
"260","Colombia",3816,2011,25.71
