cnty,abbr,year,rank,part,ppct,gply,wins,draw,lost,gold,slvr,brnz
Brazil,BRA,1994,3,14,1,66,44,11,11,3,1,2
Italy,ITA,1994,4,12,0.8571428571428571,54,31,12,11,3,1,1
Sweden,SWE,1994,10,8,0.5714285714285714,31,11,6,14,0,1,1
Bulgaria,BUL,1994,29,5,0.35714285714285715,16,0,6,10,0,0,0
Germany,GER,1994,1,12,0.8571428571428571,68,39,15,14,3,3,2
Romania,ROU,1994,7,5,0.35714285714285715,12,3,3,6,0,0,0
Holland,NED,1994,2,5,0.35714285714285715,20,8,6,6,0,2,0
Spain,ESP,1994,5,8,0.5714285714285714,32,13,7,12,0,0,0
Nigeria,NGA,1994,11,0,0,0,0,0,0,0,0,0
Argentina,ARG,1994,8,10,0.7142857142857143,48,24,9,15,2,2,0
Belgium,BEL,1994,27,8,0.5714285714285714,25,7,4,14,0,0,0
Saudi Arabia,KSA,1994,34,0,0,0,0,0,0,0,0,0
Mexico,MEX,1994,16,9,0.6428571428571429,29,6,6,17,0,0,0
USA,USA,1994,23,4,0.2857142857142857,10,3,0,7,0,0,1
Switzerland,SUI,1994,12,6,0.42857142857142855,18,5,2,11,0,0,0
Ireland,IRL,1994,14,1,0.07142857142857142,5,0,4,1,0,0,0
Norway,NOR,1994,6,1,0.07142857142857142,1,0,0,1,0,0,0
Russia,RUS,1994,19,7,0.5,31,15,6,10,0,0,0
Colombia,COL,1994,17,2,0.14285714285714285,7,1,2,4,0,0,0
South Korea,KOR,1994,37,3,0.21428571428571427,8,0,1,7,0,0,0
Bolivia,BOL,1994,43,2,0.14285714285714285,3,0,0,3,0,0,0
Cameroon,CMR,1994,24,2,0.14285714285714285,8,3,3,2,0,0,0
Morocco,MAR,1994,28,2,0.14285714285714285,7,1,3,3,0,0,0
Greece,GRE,1994,31,0,0,0,0,0,0,0,0,0
France,FRA,1998,18,9,0.6,34,15,5,14,0,0,2
Brazil,BRA,1998,1,15,1,73,49,13,11,4,1,2
Croatia,CRO,1998,19,0,0,0,0,0,0,0,0,0
Holland,NED,1998,25,6,0.4,25,11,6,8,0,2,0
Italy,ITA,1998,14,13,0.8666666666666667,61,35,14,12,3,2,1
Argentina,ARG,1998,6,11,0.7333333333333333,52,26,9,17,2,2,0
Germany,GER,1998,2,13,0.8666666666666667,73,42,16,15,3,3,2
Denmark,DEN,1998,27,1,0.06666666666666667,4,3,0,1,0,0,0
England,ENG,1998,5,9,0.6,41,18,12,11,1,0,0
Serbia,SRB,1998,8,8,0.5333333333333333,33,14,7,12,0,0,0
Romania,ROU,1998,22,6,0.4,17,6,4,7,0,0,0
Nigeria,NGA,1998,74,1,0.06666666666666667,4,2,0,2,0,0,0
Mexico,MEX,1998,4,10,0.6666666666666666,33,7,8,18,0,0,0
Paraguay,PAR,1998,29,4,0.26666666666666666,11,3,4,4,0,0,0
Norway,NOR,1998,7,2,0.13333333333333333,4,1,1,2,0,0,0
Chile,CHI,1998,9,6,0.4,21,7,3,11,0,0,1
Spain,ESP,1998,15,9,0.6,37,15,9,13,0,0,0
Morocco,MAR,1998,13,3,0.2,10,1,3,6,0,0,0
Belgium,BEL,1998,36,9,0.6,29,9,4,16,0,0,0
Iran,IRN,1998,42,1,0.06666666666666667,3,0,1,2,0,0,0
Colombia,COL,1998,10,3,0.2,10,2,2,6,0,0,0
Jamaica,JAM,1998,30,0,0,0,0,0,0,0,0,0
Austria,AUT,1998,31,7,0.4666666666666667,26,12,2,12,0,0,1
South Africa,RSA,1998,24,0,0,0,0,0,0,0,0,0
Cameroon,CMR,1998,49,3,0.2,11,3,4,4,0,0,0
Tunisia,TUN,1998,21,1,0.06666666666666667,3,1,1,1,0,0,0
Scotland,SCO,1998,41,7,0.4666666666666667,20,4,6,10,0,0,0
Saudi Arabia,KSA,1998,34,1,0.06666666666666667,4,2,0,2,0,0,0
Bulgaria,BUL,1998,35,6,0.4,23,3,7,13,0,0,0
South Korea,KOR,1998,20,4,0.26666666666666666,11,0,3,8,0,0,0
Japan,JPN,1998,12,0,0,0,0,0,0,0,0,0
USA,USA,1998,11,5,0.3333333333333333,14,4,1,9,0,0,1
Brazil,BRA,2002,2,16,1,80,53,14,13,4,2,2
Germany,GER,2002,11,14,0.875,78,45,17,16,3,3,2
Turkey,TUR,2002,22,1,0.0625,3,1,0,2,0,0,0
South Korea,KOR,2002,40,5,0.3125,14,0,4,10,0,0,0
Spain,ESP,2002,8,10,0.625,40,16,10,14,0,0,0
England,ENG,2002,12,10,0.625,45,20,13,12,1,0,0
Senegal,SEN,2002,42,0,0,0,0,0,0,0,0,0
USA,USA,2002,13,6,0.375,17,4,1,12,0,0,1
Japan,JPN,2002,32,1,0.0625,3,0,0,3,0,0,0
Denmark,DEN,2002,20,2,0.125,9,5,1,3,0,0,0
Mexico,MEX,2002,7,11,0.6875,37,8,10,19,0,0,0
Ireland,IRL,2002,15,2,0.125,9,1,5,3,0,0,0
Sweden,SWE,2002,19,9,0.5625,38,14,9,15,0,1,2
Belgium,BEL,2002,23,10,0.625,32,9,7,16,0,0,0
Italy,ITA,2002,6,14,0.875,66,38,16,12,3,2,1
Paraguay,PAR,2002,18,5,0.3125,15,4,6,5,0,0,0
South Africa,RSA,2002,37,1,0.0625,3,0,2,1,0,0,0
Argentina,ARG,2002,3,12,0.75,57,29,10,18,2,2,0
Costa Rica,CRC,2002,29,1,0.0625,4,2,0,2,0,0,0
Cameroon,CMR,2002,17,4,0.25,14,3,6,5,0,0,0
Portugal,POR,2002,5,2,0.125,9,6,0,3,0,0,1
Russia,RUS,2002,28,8,0.5,34,16,6,12,0,0,0
Croatia,CRO,2002,21,1,0.0625,7,5,0,2,0,0,1
Ecuador,ECU,2002,36,0,0,0,0,0,0,0,0,0
Poland,POL,2002,38,5,0.3125,25,13,5,7,0,0,2
Uruguay,URU,2002,24,9,0.5625,37,15,8,14,2,0,0
